title,money,description,url,images
3 Piece - Embroidered Suit - 42401648,"Rs. 9,740.00 Rs. 6,331.00","Preserve your beautiful memories by wearing this embroidered three-piece from the latest unstitched summer collection.
Product Detail:
Laces With Flowers Prints Style Shirt with Dupatta and Trousers
SHIRT
Dyed Cambric Embroidered Front: 3 Meter
Embroidered Front
Fabric: Cambric
Color: Light Pink
DUPATTA
Digital Printed Organza Chiffon Dupatta: 2.5 Meter
Fabric: Organza Chiffon
Color: Light Pink
TROUSERS
Dyed Cambric Trousers: 2.5 Meter
Fabric: Cambric
Color: ﻿Light Pink
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/collections/women/products/42401648,"image_1_21_1.jpg, image_1_21_2.jpg, image_1_21_3.jpg"
2 Piece - Basic Suit - PS24-106 - XS,"Rs. 6,690.00 Rs. 4,014.00","Create effortlessly elegant & stylish looks with this basic two-piece suit from the latest pret summer collection. 
Product Detail
Basic Shirt With Dupatta
Shirt
High V Neckline With Overlap Placket, Top Stitching Detail On Sleeves, Basic Shirt
Fabric: Cambric
Color: Pink
Dupatta
Gold Stripe Dupatta
Fabric: Silk
Color: Pink
Note:
Product color may vary slightly due to photographic lighting sources or monitor settings.",https://nishatlinen.com/collections/women/products/ps24-106,"image_1_22_1.jpg, image_1_22_2.jpg, image_1_22_3.jpg"
3 Piece - Yarn Dyed Embroidered Suit - 42401981,"Rs. 13,330.00 Rs. 8,664.50","Catch unblemished beauty with yarn dyed embroidered three-piece from the latest unstitched summer collection.
Product Detail:
Banarsi Style Shirt with Dupatta and Trousers
SHIRT
Yarn Dyed Banarsi Shirt: 3 Meter
Embroidered Front + Neckline + Sleeves + Motifs + 2 Borders
Fabric: Banarsi
Color: Red & Shocking Pink
DUPATTA
Banarsi Jacquard Dupatta: 2.5 Meter
Fabric: Banarsi
Color: Red & Shocking Pink
TROUSERS
Yarn Dyed Banarsi Trousers: 2.5 Meter
Fabric: Banarsi
Color: Red
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/collections/women/products/42401981,"image_1_23_1.jpg, image_1_23_2.jpg, image_1_23_3.jpg"
Embroidered Trousers - PS24-270 - XS,"Rs. 2,560.00 Rs. 1,536.00","Feel captivating in this unique in this embroidered trousers from the latest pret summer collection.
Product Detail
Embroidered Trousers
Trousers
Loose Straight Trousers With Embroidered Hem
Fabric: Cambric
Color: Black
Note:
Product color may vary slightly due to photographic lighting sources or monitor settings.",https://nishatlinen.com/collections/women/products/ps24-270,"image_1_24_1.jpg, image_1_24_2.jpg, image_1_24_3.jpg"
Embroidered Shirt - PE24-146 - XL,"Rs. 6,660.00 Rs. 3,996.00","Refresh your wardrobe with this embroidered shirt from the latest pret summer collection.
Product Detail
Embroidered Shirt
Shirt
Round Neckline With Slit, Embroidered Neckline & Sleeves, Straight Shirt
Fabric: Jacquard
Color: Pistachio
Note:
Product color may vary slightly due to photographic lighting sources or monitor settings.",https://nishatlinen.com/collections/women/products/pe24-146,"image_1_25_1.jpg, image_1_25_2.jpg, image_1_25_3.jpg"
Embroidered Shirt - PE24-64 - XS,"Rs. 5,330.00 Rs. 3,198.00","Transform every moment into a timeless affair with this embroidered shirt from the latest pret summer collection.
Product Detail
Embroidered Shirt
Shirt
Band Neckline With Slit & Piping, Embroidered Front & Sleeves
Fabric: Cambric
Color: Green
Note:
Product color may vary slightly due to photographic lighting sources or monitor settings.",https://nishatlinen.com/products/pe24-64,"image_1_26_1.jpg, image_1_26_2.jpg, image_1_26_3.jpg"
3 Piece - Printed Suit - 42401682,"Rs. 4,100.00 Rs. 2,665.00","Glorify yourself with this amazing printed three-piece from the latest unstitched summer collection.
Product Detail:
Modern Printed Style Shirt with Dupatta and Trousers
SHIRT
Printed Lawn Shirt: 3 Meter
Fabric: Lawn
Color: Multi
DUPATTA
Printed Voile Dupatta: 2.5 Meter
Fabric: Voile
Color: Multi
TROUSERS
Solid Cambric Trousers: 2.5 Meter
Fabric: Cambric
Color: Off White
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/collections/women/products/42401682,"image_1_27_1.jpg, image_1_27_2.jpg, image_1_27_3.jpg"
2 Piece - Printed Embroidered Suit - 42401953,"Rs. 5,640.00 Rs. 3,666.00","Radiate positivity and vibrancy in this printed embroidered two-piece from the latest unstitched summer collection.
Product Detail:
Jewel Studded Embroidered Motifs Style Shirt with Dupatta
SHIRT
Printed Super Fine Lawn Shirt: 3 Meter
Embroidered Front + Border
Fabric: Lawn
Color: Black
DUPATTA
Digital Printed Silk Dupatta: 2.5 Meter
Fabric: Silk
Color: Black
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/products/42401953,"image_1_28_1.jpg, image_1_28_2.jpg, image_1_28_3.jpg"
3 Piece - Printed Embroidered Suit - 42405001,"Rs. 8,720.00 Rs. 5,668.00","For an elegant appearance with printed embroidered three-piece from the latest summer collection.
Product Detail:
Shirt with Dupatta and Trousers
SHIRT
Digital Printed Cambric Shirt: 3.2 Meter
Embroidered Front 
Fabric: Cambric
Color: Orange
DUPATTA
Digital Printed Voile Dupatta: 2.6 Meter
Fabric: Voile
Color: Orange 
TROUSERS
Digital Printed Cambric Trousers: 2.5 Meter
Fabric: Cambric
Color: Orange
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/collections/women/products/42405001,"image_1_29_1.jpg, image_1_29_2.jpg, image_1_29_3.jpg"
Embroidered Shirt - PS24-69 - XS,"Rs. 6,150.00 Rs. 3,690.00","Celebrate style and grace with this embroidered shirt from the latest pret pre summer collection. 
Product Detail
Embroidered Shirt
Shirt
Band Neckline With Piping & Slit, Embroidered Neckline & Sleeves
Fabric: Jacquard
Color: Pink
Note:
Product color may vary slightly due to photographic lighting sources or monitor settings.",https://nishatlinen.com/collections/women/products/ps24-69,"image_1_30_1.jpg, image_1_30_2.jpg, image_1_30_3.jpg"
3 Piece - Printed Suit - 42402010,"Rs. 4,100.00 Rs. 2,665.00","Glow up for evening events by wearing this printed three-piece from the latest unstitched summer collection.
Product Detail:
Banarsi Printed Style Shirt with Dupatta and Trousers
SHIRT
Printed Lawn Shirt: 3 Meter
Fabric: Lawn
Color: Pink
DUPATTA
Printed Voile Dupatta: 2.5 Meter
Fabric: Voile
Color: Pink
TROUSERS
Solid Cambric Trousers: 2.5 Meter
Fabric: Cambric
Color: Pink
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/collections/women/products/42402010-1,"image_1_31_1.jpg, image_1_31_2.jpg, image_1_31_3.jpg"
Printed Shirt - PE24-288 - XS,"Rs. 3,790.00 Rs. 2,274.00","Make truly glamorous statement in this printed shirt from the latest pret summer collection.
Product Detail
Printed Shirt
Shirt
Band Neckline With Slit & Piping
Fabric: Lawn
Color: Green
Note:
Product color may vary slightly due to photographic lighting sources or monitor settings.",https://nishatlinen.com/collections/women/products/pe24-288,"image_1_32_1.jpg, image_1_32_2.jpg, image_1_32_3.jpg"
2 Piece - Printed Embroidered Suit - 42401771,"Rs. 5,130.00 Rs. 3,334.50","Make your personality rejuvenate by wearing this printed embroidered two-piece from the latest unstitched summer collection.
Product Detail:
Paisleys Printed Style Shirt with Dupatta
SHIRT
Printed Super Fine Lawn Shirt: 3 Meter
2 Embroidered Motifs
Fabric: Lawn
Color: Multi
DUPATTA
Digital Printed Crinkle Chiffon Dupatta: 2.5 Meter
Fabric: Crinkle Chiffon
Color: Multi
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/products/42401771,"image_1_33_1.jpg, image_1_33_2.jpg, image_1_33_3.jpg"
3 Piece - Printed Suit - 42401215,"Rs. 7,690.00 Rs. 4,998.50","Experience the sublime beauty of nature with this printed three-piece from the latest unstitched summer collection.
Product Detail:
Abstract Floral Arrangement Printed Style Shirt with Dupatta and Trousers
SHIRT
Printed Super Fine Lawn Shirt: 3 Meter
Fabric: Lawn
Color: Light Yellow
DUPATTA
Yarn Dyed Dupatta: 2.5 Meter
Fabric: Yarn Dyed
Color: Light Yellow
TROUSERS
Printed Cambric Trousers: 2.5 Meter
Fabric: Cambric
Color: ﻿Light Yellow
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/products/42401215,"image_1_34_1.jpg, image_1_34_2.jpg, image_1_34_3.jpg"
2 Piece - Embroidered Suit - PE24-90 - XS,"Rs. 8,200.00 Rs. 4,920.00","Radiate positivity and vibrancy in this embroidered two-piece suit from the latest pret summer collection.
Product Detail
Embroidered Shirt With Dupatta
Shirt
Band Neckline With Placket, Embroidered Front & Sleeves
Fabric: Cambric
Color: Apple Green
Dupatta
Dupatta With Embroidered Hem
Fabric: Silk
Color: Apple Green
Note:
Product color may vary slightly due to photographic lighting sources or monitor settings.",https://nishatlinen.com/products/pe24-90,"image_1_35_1.jpg, image_1_35_2.jpg, image_1_35_3.jpg"
